id;email;password_hash;first_name;last_name;age;verified;phone
1;"SET5@PB2MQ.LTKz";meter kilogram Platinum;Destinee;Kutch;90;true;"+375458750047"
2;"s@ie..NE";Kids Bronze;Zoila;Kohler;38;true;"+375913766537"
3;"bZ@DtW.sDm";District;Joana;Denesik;78;false;"+375261764783"
4;"atv@U-M.eXf";holistic reoffend;Josiah;Bogan-Monahan;100;true;"+375126301277"
5;"Wu.yJ@HcX.ZMgx";Ball Investment;Andreane;Swift-Schamberger;83;true;"+375294824454"
6;"k@b.SaK.Nm";Assurance Northwest Books;Lorenzo;Brekke;65;false;"+375756563225"
7;"TH5c@ccA.ZsGT";Buckinghamshire;Evan;Dickinson;95;false;"+375863771148"
8;"Go@6gDuWb.bQ";bluetooth Rican Internal;Richmond;Kuvalis;40;false;"+375184469354"
9;"XV9o6@.Mb.S.mvK";male henry;Nyah;Rosenbaum;23;true;"+375900213591"
10;"-a@Jdo.klxy";gray;Adrain;Pacocha;85;true;"+375655922628"
